SampleID,Pond,DP,Day,Position,Replicate,Astatotilapia_calliptera,Abramis_brama,Alburnus_alburnus,Barbus_barbus,Blicca_bjoerkna,Carassius_auratus,Carassius_carassius,Hypophthalmichthys_molitrix,Leuciscus_idus,Leuciscus_leuciscus,Rutilus_rutilus,Scardinius_erythrophthalmus,Squalius_cephalus,Tinca_tinca,unassigned
E1_D0_Blank1,E1,D0Ctrl,D0,Ctrl,BLANK1,608,5,0,8,0,0,0,0,0,9,0,0,0,0,1425
E1_D0_Neg1,E1,D0Ctrl,D0,Ctrl,NEG1,558,0,0,0,0,0,0,0,0,12,0,0,0,0,212
E1_D0_P1_1,E1,D0P1,D0,P1,1,0,126,0,193,0,0,3,0,3,574,178,0,0,456,780
E1_D0_P1_2,E1,D0P1,D0,P1,2,0,102,0,251,0,0,40,0,3,1283,0,0,0,368,4368
E1_D0_P1_3,E1,D0P1,D0,P1,3,0,648,0,1023,0,0,351,0,0,1553,0,0,0,5,7265
E1_D0_P2_1,E1,D0P2,D0,P2,1,0,686,0,1493,3,0,708,0,4,2779,185,0,0,816,10966
E1_D0_P2_2,E1,D0P2,D0,P2,2,0,529,0,1581,0,0,462,0,4,1431,59,0,0,78,9652
E1_D0_P2_3,E1,D0P2,D0,P2,3,0,4,0,795,0,0,4,0,3,910,234,0,0,207,9880
E1_D0_P3_1,E1,D0P3,D0,P3,1,0,381,0,357,0,0,326,0,0,1043,116,0,0,70,11326
E1_D0_P3_2,E1,D0P3,D0,P3,2,0,543,0,64,0,0,196,0,4,1245,394,0,0,3,13957
E1_D0_P3_3,E1,D0P3,D0,P3,3,0,359,0,878,0,0,235,0,0,226,3,0,0,257,9513
E1_D0_P4_1,E1,D0P4,D0,P4,1,0,0,0,3,0,0,666,0,0,109,237,0,0,713,2629
E1_D0_P4_2,E1,D0P4,D0,P4,2,0,351,0,701,0,0,887,0,5,2086,239,0,0,361,10590
E1_D0_P4_3,E1,D0P4,D0,P4,3,0,229,0,969,0,0,798,0,0,1695,140,0,0,0,8892
E1_D0_P5_1,E1,D0P5,D0,P5,1,147,544,0,704,4,0,571,0,6,2794,178,0,0,194,3237
E1_D0_P5_2,E1,D0P5,D0,P5,2,113,435,0,652,0,0,388,0,4,2008,107,0,0,339,2768
E1_D0_P5_3,E1,D0P5,D0,P5,3,80,109,0,2217,0,0,105,0,5,3385,69,0,0,203,4810
E1_D0_Pos1,E1,D0Ctrl,D0,Ctrl,POS1,169372,3,0,0,0,0,0,0,0,16,0,0,0,0,77524
E1_D02_Blank1,E1,D2Ctrl,D2,Ctrl,BLANK1,505,3,0,0,0,0,3,0,0,12,5,4,0,0,473
E1_D02_Neg1,E1,D2Ctrl,D2,Ctrl,NEG1,589,0,0,8,0,0,0,0,0,14,0,0,0,0,244
E1_D02_P1_1,E1,D2P1,D2,P1,1,0,945,12,1063,4,0,2618,0,9,1963,563,1298,2652,546,9701
E1_D02_P1_2,E1,D2P1,D2,P1,2,0,24,0,791,0,0,1455,0,6,579,60,1100,133,547,6169
E1_D02_P1_3,E1,D2P1,D2,P1,3,0,56,0,211,0,0,507,0,5,1391,106,474,574,211,4529
E1_D02_P2_1,E1,D2P2,D2,P2,1,0,921,0,460,0,0,4,0,0,465,56,0,0,276,6507
E1_D02_P2_2,E1,D2P2,D2,P2,2,0,948,4,428,0,0,552,0,5,1200,733,5,4,445,7529
E1_D02_P2_3,E1,D2P2,D2,P2,3,0,342,0,1685,0,0,0,0,0,523,329,0,0,0,7346
E1_D02_P3_1,E1,D2P3,D2,P3,1,0,751,5,422,0,0,379,0,0,424,332,0,11,88,4751
E1_D02_P3_2,E1,D2P3,D2,P3,2,0,762,0,1022,0,0,335,0,0,1523,0,4,0,337,4956
E1_D02_P3_3,E1,D2P3,D2,P3,3,0,313,0,1716,0,0,213,0,5,1028,0,4,0,550,5890
E1_D02_P4_1,E1,D2P4,D2,P4,1,0,60,0,263,0,0,0,0,219,2479,0,0,0,4,6314
E1_D02_P4_2,E1,D2P4,D2,P4,2,0,358,0,540,0,0,811,0,291,1257,115,280,0,890,10796
E1_D02_P4_3,E1,D2P4,D2,P4,3,0,0,0,938,0,0,186,0,64,2384,246,15,0,0,7756
E1_D02_P5_1,E1,D2P5,D2,P5,1,153,313,0,347,0,0,8,0,119,1107,262,3,5,99,3927
E1_D02_P5_2,E1,D2P5,D2,P5,2,105,3,0,85,0,0,261,0,3,1001,0,4,0,338,1721
E1_D02_P5_3,E1,D2P5,D2,P5,3,89,575,0,855,0,0,1568,0,0,443,3,0,0,0,7325
E1_D02_Pos1,E1,D2Ctrl,D2,Ctrl,POS1,180915,0,0,0,0,0,4,0,0,4,0,0,0,0,106782
E1_D04_Blank1,E1,D4Ctrl,D4,Ctrl,BLANK1,363,4,0,3,0,0,3,0,0,0,0,0,0,0,262
E1_D04_Neg1,E1,D4Ctrl,D4,Ctrl,NEG1,99,0,0,4,0,0,0,0,0,3,0,0,0,0,816
E1_D04_P1_1,E1,D4P1,D4,P1,1,0,653,0,378,3,0,1237,0,0,1027,6,0,530,537,3189
E1_D04_P1_2,E1,D4P1,D4,P1,2,0,2426,4,347,4,0,5,4,3,1303,1654,0,404,457,7017
E1_D04_P1_3,E1,D4P1,D4,P1,3,0,164,8,610,4,0,3303,0,12,1878,421,599,0,339,12410
E1_D04_P2_1,E1,D4P2,D4,P2,1,0,860,0,79,0,0,187,0,4,1118,0,0,54,323,5728
E1_D04_P2_2,E1,D4P2,D4,P2,2,0,1812,0,1146,0,0,1035,0,8,1694,0,0,0,11,3695
E1_D04_P2_3,E1,D4P2,D4,P2,3,0,589,0,625,4,0,639,0,0,494,160,0,0,364,2317
E1_D04_P3_1,E1,D4P3,D4,P3,1,0,577,0,205,0,0,423,0,6,1376,71,0,0,590,3842
E1_D04_P3_2,E1,D4P3,D4,P3,2,0,617,0,568,0,0,633,0,0,1594,159,0,0,402,3583
E1_D04_P3_3,E1,D4P3,D4,P3,3,0,1879,0,650,9,0,290,0,0,1440,247,0,0,93,4903
E1_D04_P4_1,E1,D4P4,D4,P4,1,0,1432,0,136,4,0,544,0,75,1087,96,0,0,912,4179
E1_D04_P4_2,E1,D4P4,D4,P4,2,0,1321,0,753,5,0,431,0,408,1217,300,143,0,559,5075
E1_D04_P4_3,E1,D4P4,D4,P4,3,0,516,0,1191,0,0,1147,0,6,1420,126,0,0,370,4439
E1_D04_P5_1,E1,D4P5,D4,P5,1,64,132,0,391,0,0,341,0,0,847,98,0,0,68,1168
E1_D04_P5_2,E1,D4P5,D4,P5,2,63,325,0,364,0,0,384,0,0,1175,0,0,0,459,1930
E1_D04_P5_3,E1,D4P5,D4,P5,3,73,525,0,494,0,0,6,0,4,1726,115,0,0,416,2985
E1_D04_Pos1,E1,D4Ctrl,D4,Ctrl,POS1,7290,0,0,0,0,0,0,0,0,0,0,0,0,0,206152
E1_D06_Blank1,E1,D6Ctrl,D6,Ctrl,BLANK1,496,5,0,3,0,0,0,0,0,9,3,0,0,3,409
E1_D06_Neg1,E1,D6Ctrl,D6,Ctrl,NEG1,376,7,0,3,0,0,3,0,0,8,0,0,0,0,552
E1_D06_P1_1,E1,D6P1,D6,P1,1,0,211,4,334,0,0,139,0,0,512,619,0,0,12,1466
E1_D06_P1_2,E1,D6P1,D6,P1,2,0,1499,0,993,0,0,299,0,0,1257,714,65,0,297,3358
E1_D06_P1_3,E1,D6P1,D6,P1,3,0,768,0,1235,0,0,409,0,86,907,410,0,0,580,4040
E1_D06_P2_1,E1,D6P2,D6,P2,1,0,507,5,394,0,0,276,0,0,619,430,0,0,171,2151
E1_D06_P2_2,E1,D6P2,D6,P2,2,0,181,0,425,0,0,362,0,0,512,193,0,0,147,1562
E1_D06_P2_3,E1,D6P2,D6,P2,3,0,447,0,764,0,0,169,0,6,650,219,213,0,71,2709
E1_D06_P3_1,E1,D6P3,D6,P3,1,0,232,0,695,0,0,290,0,0,436,92,0,0,77,1690
E1_D06_P3_2,E1,D6P3,D6,P3,2,0,609,0,371,0,0,261,0,0,422,3,0,0,154,1587
E1_D06_P3_3,E1,D6P3,D6,P3,3,0,176,0,1215,0,0,167,0,4,1320,163,0,0,288,4827
E1_D06_P4_1,E1,D6P4,D6,P4,1,0,400,0,471,0,0,93,0,8,2462,115,0,0,120,3561
E1_D06_P4_2,E1,D6P4,D6,P4,2,0,406,0,589,0,0,201,0,7,2623,0,0,0,367,3923
E1_D06_P4_3,E1,D6P4,D6,P4,3,0,100,0,140,0,0,389,0,70,1232,0,0,0,165,2890
E1_D06_P5_1,E1,D6P5,D6,P5,1,105,216,0,0,0,0,127,0,0,377,112,0,0,367,2184
E1_D06_P5_2,E1,D6P5,D6,P5,2,104,4,0,1301,0,0,309,0,0,1018,226,0,0,162,2433
E1_D06_P5_3,E1,D6P5,D6,P5,3,123,1032,3,667,0,0,843,0,9,2580,307,0,0,590,50592
E1_D06_Pos1,E1,D6Ctrl,D6,Ctrl,POS1,196366,0,0,4,0,0,0,0,0,6,0,0,0,0,100470
E1_D08_Blank1,E1,D8Ctrl,D8,Ctrl,BLANK1,244,5,0,0,0,0,0,0,0,6,0,0,0,3,258
E1_D08_Neg1,E1,D8Ctrl,D8,Ctrl,NEG1,265,3,0,0,0,0,0,0,0,3,0,0,0,0,45
E1_D08_P1_1,E1,D8P1,D8,P1,1,0,1763,0,1360,3,0,458,17,0,2682,731,110,111,736,7073
E1_D08_P1_2,E1,D8P1,D8,P1,2,0,1503,0,1374,0,0,287,0,268,2380,200,292,229,1092,5470
E1_D08_P1_3,E1,D8P1,D8,P1,3,0,1663,0,1034,0,0,1020,0,276,2781,493,0,0,710,7801
E1_D08_P2_1,E1,D8P2,D8,P2,1,0,843,0,370,0,0,316,0,0,884,172,0,0,472,4029
E1_D08_P2_2,E1,D8P2,D8,P2,2,0,690,0,1546,0,0,957,0,3,516,857,0,0,270,5745
E1_D08_P2_3,E1,D8P2,D8,P2,3,0,1346,0,293,0,0,289,0,68,1513,0,28,0,155,3896
E1_D08_P3_1,E1,D8P3,D8,P3,1,0,375,0,899,0,0,61,0,0,680,273,0,0,145,4005
E1_D08_P3_2,E1,D8P3,D8,P3,2,0,1081,0,30,0,0,665,0,0,1229,229,0,0,81,4463
E1_D08_P3_3,E1,D8P3,D8,P3,3,0,459,0,808,0,0,6,0,0,1175,383,0,0,197,32030
E1_D08_P4_1,E1,D8P4,D8,P4,1,0,587,0,242,0,0,267,0,151,484,171,0,122,728,2524
E1_D08_P4_2,E1,D8P4,D8,P4,2,0,798,0,35,0,0,152,0,51,1909,5,113,0,490,5011
E1_D08_P4_3,E1,D8P4,D8,P4,3,0,863,0,1092,4,0,45,0,0,1286,95,0,0,346,6317
E1_D08_P5_1,E1,D8P5,D8,P5,1,24,292,0,185,0,0,111,0,3,1278,36,0,0,73,2017
E1_D08_P5_2,E1,D8P5,D8,P5,2,11,417,0,906,0,0,270,0,4,2010,0,0,0,78,5006
E1_D08_P5_3,E1,D8P5,D8,P5,3,26,703,5,853,3,0,472,0,7,2231,279,0,0,0,6490
E1_D08_Pos1,E1,D8Ctrl,D8,Ctrl,POS1,7826,0,0,0,0,0,0,0,0,10,0,0,0,0,191342
E1_D10_Blank1,E1,D10Ctrl,D10,Ctrl,BLANK1,302,9,0,9,0,0,0,0,0,8,5,0,0,3,351
E1_D10_Neg1,E1,D10Ctrl,D10,Ctrl,NEG1,364,4,0,3,0,0,0,0,0,11,4,0,0,0,771
E1_D10_P1_1,E1,D10P1,D10,P1,1,0,1866,5,1473,3,0,586,0,7,3017,842,0,0,526,5378
E1_D10_P1_2,E1,D10P1,D10,P1,2,0,1602,3,1231,0,0,884,0,7,3424,1248,0,0,293,4336
E1_D10_P1_3,E1,D10P1,D10,P1,3,0,1596,7,871,0,0,498,0,0,2604,1664,0,0,515,5051
E1_D10_P2_1,E1,D10P2,D10,P2,1,0,1014,0,672,0,0,648,0,8,1703,139,0,0,746,4216
E1_D10_P2_2,E1,D10P2,D10,P2,2,0,1242,0,2004,0,0,542,0,4,2015,442,0,0,379,5571
E1_D10_P2_3,E1,D10P2,D10,P2,3,0,754,5,740,3,0,636,0,0,1340,530,0,0,267,4247
E1_D10_P3_1,E1,D10P3,D10,P3,1,0,705,3,457,0,0,4,0,3,1607,1146,0,0,244,8697
E1_D10_P3_2,E1,D10P3,D10,P3,2,0,1323,0,1289,0,0,130,0,4,1723,502,0,0,408,3783
E1_D10_P3_3,E1,D10P3,D10,P3,3,0,53,0,1744,4,0,1064,0,6,2797,277,0,0,272,7878
E1_D10_P4_1,E1,D10P4,D10,P4,1,0,1156,0,943,0,0,498,0,102,2690,742,0,0,589,5068
E1_D10_P4_2,E1,D10P4,D10,P4,2,0,1061,0,224,0,0,729,0,3,2076,972,0,0,288,6314
E1_D10_P4_3,E1,D10P4,D10,P4,3,0,666,0,811,0,0,1050,0,3,2517,471,0,0,115,4585
E1_D10_P5_1,E1,D10P5,D10,P5,1,97,376,3,88,0,0,93,0,5,2517,458,0,0,5,2553
E1_D10_P5_2,E1,D10P5,D10,P5,2,74,462,3,1043,0,0,668,0,7,4992,929,0,0,0,4005
E1_D10_P5_3,E1,D10P5,D10,P5,3,62,501,0,1034,0,0,403,0,12,5367,680,0,0,786,13047
E1_D10_Pos1,E1,D10Ctrl,D10,Ctrl,POS1,6645,3,0,0,0,0,0,0,0,10,0,0,0,0,186452
E1_D12_Blank1,E1,D12Ctrl,D12,Ctrl,BLANK1,301,17,0,10,0,0,7,0,0,21,4,0,0,5,735
E1_D12_Neg1,E1,D12Ctrl,D12,Ctrl,NEG1,77,6,0,10,0,0,5,0,0,36,4,0,0,7,13
E1_D12_P1_1,E1,D12P1,D12,P1,1,0,233,0,144,0,0,99,0,4,1517,180,0,0,10,1803
E1_D12_P1_2,E1,D12P1,D12,P1,2,0,1620,0,2069,0,0,672,0,9,4814,1285,0,0,594,7369
E1_D12_P1_3,E1,D12P1,D12,P1,3,0,155,0,125,8,0,1138,0,8,3182,267,0,0,426,10088
E1_D12_P2_1,E1,D12P2,D12,P2,1,0,928,0,157,3,0,730,0,7,2090,213,0,0,306,7529
E1_D12_P2_2,E1,D12P2,D12,P2,2,0,226,0,2913,4,0,779,0,6,2852,723,0,0,987,13319
E1_D12_P2_3,E1,D12P2,D12,P2,3,0,248,5,1784,5,0,1670,0,9,4574,872,0,0,982,9910
E1_D12_P3_1,E1,D12P3,D12,P3,1,0,1272,0,2027,0,0,647,0,6,2251,178,0,0,366,6271
E1_D12_P3_2,E1,D12P3,D12,P3,2,0,1343,0,1148,0,0,880,0,5,3822,340,0,0,453,6803
E1_D12_P3_3,E1,D12P3,D12,P3,3,0,105,0,1584,4,0,1855,0,332,4893,290,0,0,646,12345
E1_D12_P4_1,E1,D12P4,D12,P4,1,0,675,0,339,0,0,862,0,6,1535,105,0,0,164,3191
E1_D12_P4_2,E1,D12P4,D12,P4,2,0,791,8,1218,0,0,997,0,16,6693,1032,0,0,542,12397
E1_D12_P4_3,E1,D12P4,D12,P4,3,0,1192,5,1595,3,0,1480,0,7,4514,579,0,0,267,10716
E1_D12_P5_1,E1,D12P5,D12,P5,1,144,925,3,290,0,0,326,0,76,5737,139,0,0,272,11463
E1_D12_P5_2,E1,D12P5,D12,P5,2,101,1069,3,1917,0,0,1248,0,12,7352,147,0,0,713,13060
E1_D12_P5_3,E1,D12P5,D12,P5,3,97,64,0,1396,3,0,1092,0,19,7549,504,0,0,830,15958
E1_D12_Pos1,E1,D12Ctrl,D12,Ctrl,POS1,4983,3,0,3,0,0,0,0,0,25,0,0,0,0,147275
E1_D14_Blank1,E1,D14Ctrl,D14,Ctrl,BLANK1,280,8,0,0,0,0,6,0,0,15,0,0,0,0,131
E1_D14_Neg1,E1,D14Ctrl,D14,Ctrl,NEG1,209,7,0,6,0,0,0,0,0,29,0,0,0,0,54
E1_D14_P1_1,E1,D14P1,D14,P1,1,0,132,0,817,0,0,930,0,0,1652,372,0,0,425,5494
E1_D14_P1_2,E1,D14P1,D14,P1,2,0,272,0,837,5,0,653,0,12,2915,34,0,0,285,7297
E1_D14_P1_3,E1,D14P1,D14,P1,3,0,1104,3,994,0,0,237,0,96,1524,271,0,0,71,4129
E1_D14_P2_1,E1,D14P2,D14,P2,1,0,1406,0,566,4,0,512,0,15,2080,168,0,0,720,6121
E1_D14_P2_2,E1,D14P2,D14,P2,2,0,132,0,815,0,0,1034,0,4,2647,90,0,0,619,7140
E1_D14_P2_3,E1,D14P2,D14,P2,3,0,616,0,280,0,0,186,0,3,1025,161,0,0,400,2631
E1_D14_P3_1,E1,D14P3,D14,P3,1,0,719,3,494,0,0,954,0,138,2046,364,0,0,254,4306
E1_D14_P3_2,E1,D14P3,D14,P3,2,0,1898,3,672,6,0,883,0,78,3837,305,0,0,574,3793
E1_D14_P3_3,E1,D14P3,D14,P3,3,0,457,0,422,0,0,595,0,3,3456,3,0,0,610,5023
E1_D14_P4_1,E1,D14P4,D14,P4,1,0,45,3,7,4,0,453,0,4,3795,274,0,0,193,8543
E1_D14_P4_2,E1,D14P4,D14,P4,2,0,722,0,566,0,0,225,0,86,3261,288,0,0,74,5210
E1_D14_P4_3,E1,D14P4,D14,P4,3,0,1010,4,151,0,0,649,0,71,3666,446,0,0,501,10086
E1_D14_P5_1,E1,D14P5,D14,P5,1,74,872,0,658,3,0,575,0,0,2809,316,0,0,180,4946
E1_D14_P5_2,E1,D14P5,D14,P5,2,75,34,0,924,0,0,324,0,8,2200,209,0,0,268,4255
